2025-01-02,36.91,37.21,38.48,36.23,105775,404710120.34,6.09,0.73,0.27,2.72
2025-01-03,37.18,36.52,38.33,36.46,76457,292169131.66,5.03,-1.85,-0.69,1.97
2025-01-06,37.21,37.29,38.40,36.72,72791,277261122.69,4.60,2.11,0.77,1.87
2025-01-07,36.91,38.25,38.33,36.51,72735,279207438.63,4.88,2.57,0.96,1.87
2025-01-08,38.08,37.28,38.37,36.69,51986,198020922.98,4.39,-2.54,-0.97,1.34
2025-01-09,37.05,37.48,37.82,36.74,50023,190799165.57,2.90,0.54,0.20,1.29
2025-01-10,37.42,36.48,37.79,36.43,42438,159972751.83,3.63,-2.67,-1.00,1.09
2025-01-13,36.38,37.77,38.00,36.23,77317,296479207.25,4.85,3.54,1.29,1.99
2025-01-14,37.70,38.88,39.00,37.43,71141,280303625.72,4.16,2.94,1.11,1.83
2025-01-15,38.90,39.69,39.82,38.47,80643,323026784.63,3.47,2.08,0.81,2.07
2025-01-16,39.65,39.29,40.05,38.83,46673,187578485.50,3.07,-1.01,-0.40,1.20
2025-01-17,39.40,39.45,41.00,39.32,53062,216399800.40,4.28,0.41,0.16,1.37
2025-01-20,39.50,40.16,40.91,39.35,63652,262059590.60,3.95,1.80,0.71,1.64
2025-01-21,40.20,38.46,40.32,38.25,84047,332240989.28,5.15,-4.23,-1.70,2.16
2025-01-22,38.23,38.14,38.33,37.79,36090,140122592.45,1.40,-0.83,-0.32,0.93
2025-01-23,38.42,38.15,38.82,38.12,50988,199957639.76,1.84,0.03,0.01,1.31
2025-01-24,37.99,38.57,38.97,37.73,44309,173983250.18,3.25,1.10,0.42,1.14
2025-01-27,38.57,37.83,39.39,37.78,53298,208749630.58,4.17,-1.92,-0.74,1.37
2025-02-05,38.04,37.45,38.20,37.29,37388,143706895.50,2.41,-1.00,-0.38,0.96
2025-02-06,37.42,37.81,37.81,36.37,69825,265423170.67,3.85,0.96,0.36,1.80
2025-02-07,36.74,37.12,37.57,35.92,162195,607513955.94,4.36,-1.82,-0.69,4.17
2025-02-10,36.82,36.41,37.14,35.83,155704,575861509.95,3.53,-1.91,-0.71,4.01
2025-02-11,36.24,35.00,36.31,34.44,161978,580442042.96,5.14,-3.87,-1.41,4.17
2025-02-12,34.71,35.47,36.08,34.52,148502,533447627.96,4.46,1.34,0.47,3.82
2025-02-13,35.22,35.37,35.81,35.11,94534,343130839.15,1.97,-0.28,-0.10,2.43
2025-02-14,35.23,35.52,36.16,35.12,79660,290614766.43,2.94,0.42,0.15,2.05
2025-02-17,35.40,34.67,35.52,34.48,104228,370418549.47,2.93,-2.39,-0.85,2.68
2025-02-18,34.69,34.22,35.11,34.16,93170,330272413.97,2.74,-1.30,-0.45,2.40
2025-02-19,34.10,34.25,34.51,33.70,100883,351998656.66,2.37,0.09,0.03,2.60
2025-02-20,34.20,34.49,34.61,34.12,59966,210948938.65,1.43,0.70,0.24,1.54
2025-02-21,34.52,34.04,34.70,33.93,114389,400055510.42,2.23,-1.30,-0.45,2.94
2025-02-24,33.92,33.70,34.33,33.52,104023,360433761.21,2.38,-1.00,-0.34,2.68
2025-02-25,33.53,33.44,33.91,33.12,104700,358468614.68,2.34,-0.77,-0.26,2.69
2025-02-26,33.41,33.80,33.85,33.37,86708,298407553.14,1.44,1.08,0.36,2.23
2025-02-27,33.87,34.07,34.31,33.53,118441,411168540.57,2.31,0.80,0.27,3.05
2025-02-28,33.92,33.48,34.35,33.42,99314,345060271.68,2.73,-1.73,-0.59,2.56
2025-03-03,33.48,35.02,35.59,33.48,236542,845068350.57,6.30,4.60,1.54,6.09
2025-03-04,34.67,34.22,34.67,33.92,116215,405923955.79,2.14,-2.28,-0.80,2.99
2025-03-05,34.22,33.76,34.72,33.46,92181,317580832.52,3.68,-1.34,-0.46,2.37
2025-03-06,33.78,34.20,34.33,33.78,99386,346145154.84,1.63,1.30,0.44,2.56
2025-03-07,34.23,34.48,35.06,34.17,110594,390990861.13,2.60,0.82,0.28,2.85
2025-03-10,34.42,35.00,35.08,34.20,111278,394947222.21,2.55,1.51,0.52,2.86
2025-03-11,34.71,35.14,35.15,34.50,81852,292064080.04,1.86,0.40,0.14,2.11
2025-03-12,35.11,34.64,35.17,34.49,91574,325022240.11,1.94,-1.42,-0.50,2.36
2025-03-13,34.61,34.56,34.90,34.25,73844,260432376.29,1.88,-0.23,-0.08,1.90
2025-03-14,34.64,34.96,35.22,34.48,98108,349591061.73,2.14,1.16,0.40,2.52
2025-03-17,35.11,34.81,35.18,34.69,76303,272308702.54,1.40,-0.43,-0.15,1.96
2025-03-18,34.82,34.92,35.17,34.69,71929,256835779.37,1.38,0.32,0.11,1.85
2025-03-19,34.82,34.52,34.92,34.24,82203,289837230.22,1.95,-1.15,-0.40,2.11
2025-03-20,34.45,34.27,34.46,34.15,53724,188425391.84,0.90,-0.72,-0.25,1.38
2025-03-21,34.22,33.99,34.54,33.90,58569,204734262.00,1.87,-0.82,-0.28,1.51
2025-03-24,34.01,33.12,34.05,32.60,125700,424947454.10,4.27,-2.56,-0.87,3.23
2025-03-25,33.06,33.38,33.51,32.87,71030,241361625.98,1.93,0.79,0.26,1.83
2025-03-26,33.35,33.47,34.01,33.31,67136,231035560.85,2.10,0.27,0.09,1.73
2025-03-27,33.38,33.35,33.63,32.98,47873,163227878.76,1.94,-0.36,-0.12,1.23
2025-03-28,33.38,33.00,33.51,32.90,43381,146772493.66,1.83,-1.05,-0.35,1.12
2025-03-31,32.88,32.46,32.97,32.25,57754,192342441.33,2.18,-1.64,-0.54,1.49
2025-04-01,32.44,32.73,32.77,32.39,50664,169235229.84,1.17,0.83,0.27,1.30
2025-04-02,32.67,32.50,32.79,32.32,34993,116766400.77,1.44,-0.70,-0.23,0.90
2025-04-03,32.22,32.19,32.53,32.12,46694,154326259.50,1.26,-0.95,-0.31,1.20
