MjAxMi0wMy0yOSwxNC4yMiwxNC4yNCwxNC45MywxNC4xNCwxNDk1NzAsNDU4Nzk2NDAwLjAwLDQuNzUsLTE0LjM3LC0yLjM5LDMwLjUy
2012-03-30,14.53,14.78,15.13,14.44,93888,293873824.00,4.85,3.79,0.54,19.16
2012-04-05,14.76,14.88,15.01,14.19,60334,186367019.00,5.55,0.68,0.10,12.31
2012-04-06,14.75,14.80,14.95,14.48,40265,125529423.00,3.16,-0.54,-0.08,8.22
2012-04-09,14.72,14.38,14.72,14.38,30634,94377020.00,2.30,-2.84,-0.42,6.25
2012-04-10,14.25,15.34,15.73,14.18,60205,189579438.00,10.78,6.68,0.96,12.29
2012-04-11,15.13,15.10,15.51,14.98,45680,146860852.00,3.46,-1.56,-0.24,9.32
2012-04-12,15.13,15.23,15.26,14.94,33565,107472280.00,2.12,0.86,0.13,6.85
2012-04-13,15.23,15.19,15.36,15.04,31099,99869866.00,2.10,-0.26,-0.04,6.35
2012-04-16,15.03,14.63,15.03,14.58,41566,130086047.00,2.96,-3.69,-0.56,8.48
2012-04-17,14.77,14.65,14.82,14.52,23792,73843331.00,2.05,0.14,0.02,4.86
2012-04-18,14.73,14.87,14.94,14.57,25122,78755927.00,2.53,1.50,0.22,5.13
2012-04-19,14.79,15.01,15.31,14.79,32689,104545024.00,3.50,0.94,0.14,6.67
2012-04-20,15.03,15.07,15.19,14.85,23853,75803122.00,2.27,0.40,0.06,4.87
2012-04-23,15.14,14.56,15.22,14.49,34096,106516055.00,4.84,-3.38,-0.51,6.96
2012-04-24,14.52,15.01,15.03,14.28,36805,114488310.00,5.15,3.09,0.45,7.51
2012-04-25,14.88,15.03,15.22,14.81,28924,92057964.00,2.73,0.13,0.02,5.90
2012-04-26,14.96,14.85,15.13,14.85,19667,62379628.00,1.86,-1.20,-0.18,4.01
2012-04-27,14.84,14.84,15.07,14.64,19321,60726652.00,2.90,-0.07,-0.01,3.94
2012-05-02,15.06,15.13,15.24,14.88,28535,91051699.00,2.43,1.95,0.29,5.82
2012-05-03,15.12,15.20,15.27,15.00,26595,85275099.00,1.78,0.46,0.07,5.43
2012-05-04,15.17,15.22,15.36,15.06,26205,84280703.00,1.97,0.13,0.02,5.35
2012-05-07,15.15,15.08,15.16,14.88,30407,96512306.00,1.84,-0.92,-0.14,6.21
2012-05-08,15.07,15.45,15.58,14.97,48737,157722875.00,4.05,2.45,0.37,9.95
2012-05-09,15.33,15.26,15.72,15.19,37598,122848278.00,3.43,-1.23,-0.19,7.67
