2025-01-02,47.50,43.02,47.79,43.02,722707,3218578208.05,9.98,-10.00,-4.78,4.06
2025-01-03,41.70,40.46,42.55,40.27,662221,2730388560.35,5.30,-5.95,-2.56,3.72
2025-01-06,40.40,39.65,41.48,39.34,414320,1662298195.96,5.29,-2.00,-0.81,2.33
2025-01-07,40.00,40.82,40.84,39.46,307060,1232465312.33,3.48,2.95,1.17,1.73
2025-01-08,40.60,41.79,42.24,40.30,448886,1853542480.28,4.75,2.38,0.97,2.52
2025-01-09,41.52,41.23,41.88,40.85,316524,1307672188.52,2.46,-1.34,-0.56,1.78
2025-01-10,40.85,40.30,41.59,40.20,270254,1107753148.40,3.37,-2.26,-0.93,1.52
2025-01-13,39.38,40.45,40.88,38.65,324378,1291608311.60,5.53,0.37,0.15,1.82
2025-01-14,40.99,41.71,41.93,40.37,381639,1579400558.21,3.86,3.11,1.26,2.15
2025-01-15,41.59,41.29,42.48,41.07,295724,1234779812.67,3.38,-1.01,-0.42,1.66
2025-01-16,41.52,41.69,42.70,41.25,286277,1199027610.68,3.51,0.97,0.40,1.61
2025-01-17,41.51,41.59,42.14,41.01,243226,1010930862.93,2.71,-0.24,-0.10,1.37
2025-01-20,42.40,44.25,45.20,42.00,552866,2426232370.02,7.69,6.40,2.66,3.11
2025-01-21,44.55,44.34,44.77,43.53,314302,1386365938.34,2.80,0.20,0.09,1.77
2025-01-22,44.20,43.71,44.47,43.49,246541,1080985449.16,2.21,-1.42,-0.63,1.39
2025-01-23,44.60,40.60,45.06,39.44,853537,3563994480.61,12.86,-7.12,-3.11,4.80
2025-01-24,40.44,41.07,41.64,40.26,390565,1599347223.93,3.40,1.16,0.47,2.20
2025-01-27,41.00,40.65,41.79,40.65,255895,1051749565.85,2.78,-1.02,-0.42,1.44
2025-02-05,40.50,40.99,41.66,40.25,293017,1204727400.92,3.47,0.84,0.34,1.65
2025-02-06,42.20,43.23,43.63,40.88,494605,2106079879.16,6.71,5.46,2.24,2.78
2025-02-07,42.93,43.19,44.25,42.42,452861,1966167803.79,4.23,-0.09,-0.04,2.55
2025-02-10,43.05,42.94,43.60,42.80,273734,1180271146.11,1.85,-0.58,-0.25,1.54
2025-02-11,42.86,42.03,42.86,41.36,300110,1260425542.00,3.49,-2.12,-0.91,1.69
2025-02-12,41.89,42.39,42.42,41.79,211794,891976732.20,1.50,0.86,0.36,1.19
2025-02-13,42.27,40.89,42.90,40.88,367861,1526127721.01,4.77,-3.54,-1.50,2.07
2025-02-14,40.50,41.07,41.12,40.10,262384,1067096705.43,2.49,0.44,0.18,1.48
2025-02-17,40.76,41.88,42.42,40.54,346807,1436736212.12,4.58,1.97,0.81,1.95
2025-02-18,41.88,40.40,41.95,40.27,289918,1186809332.66,4.01,-3.53,-1.48,1.63
2025-02-19,39.90,41.06,41.28,39.81,239726,977797254.29,3.64,1.63,0.66,1.35
2025-02-20,41.00,41.00,41.36,40.68,203685,835239827.59,1.66,-0.15,-0.06,1.15
2025-02-21,41.00,43.20,43.98,41.00,631456,2726422101.48,7.27,5.37,2.20,3.55
2025-02-24,44.33,43.82,45.25,43.35,513374,2274697985.77,4.40,1.44,0.62,2.89
2025-02-25,43.12,43.92,45.00,43.05,382121,1683461106.78,4.45,0.23,0.10,2.15
2025-02-26,43.92,43.40,44.20,43.10,288877,1257835117.33,2.50,-1.18,-0.52,1.63
2025-02-27,43.49,42.28,43.57,41.58,339156,1438460332.10,4.59,-2.58,-1.12,1.91
2025-02-28,42.01,40.92,42.27,40.80,288833,1195759119.75,3.48,-3.22,-1.36,1.63
2025-03-03,40.95,40.55,41.64,40.38,284654,1163868791.70,3.08,-0.90,-0.37,1.60
2025-03-04,40.41,41.18,41.54,40.40,232114,953880256.40,2.81,1.55,0.63,1.31
2025-03-05,41.03,41.27,41.50,40.66,191391,784677909.34,2.04,0.22,0.09,1.08
2025-03-06,41.55,41.51,41.85,41.25,248907,1034982809.94,1.45,0.58,0.24,1.40
2025-03-07,41.28,41.43,42.75,40.76,376683,1574475462.70,4.79,-0.19,-0.08,2.12
2025-03-10,41.60,41.95,42.84,41.56,253185,1062358484.17,3.09,1.26,0.52,1.42
2025-03-11,41.31,41.43,41.57,40.86,232631,957103804.48,1.69,-1.24,-0.52,1.31
2025-03-12,41.39,41.63,42.09,40.92,255177,1059095815.44,2.82,0.48,0.20,1.44
2025-03-13,41.70,40.94,41.70,40.54,234635,959353549.50,2.79,-1.66,-0.69,1.32
2025-03-14,40.60,41.39,41.50,40.50,235611,969233210.39,2.44,1.10,0.45,1.33
2025-03-17,41.30,40.95,41.40,40.91,182618,749820643.56,1.18,-1.06,-0.44,1.03
2025-03-18,40.95,42.79,43.28,40.95,508585,2163463656.02,5.69,4.49,1.84,2.86
2025-03-19,42.78,41.45,42.79,41.26,288094,1204083630.30,3.58,-3.13,-1.34,1.62
2025-03-20,41.33,41.04,41.65,41.00,179057,738528626.58,1.57,-0.99,-0.41,1.01
2025-03-21,40.93,40.75,41.20,40.65,191782,783462968.20,1.34,-0.71,-0.29,1.08
2025-03-24,40.55,40.68,40.77,39.84,237205,955744970.08,2.28,-0.17,-0.07,1.33
2025-03-25,40.48,38.91,40.57,38.80,276595,1099713337.09,4.35,-4.35,-1.77,1.56
2025-03-26,38.30,38.87,39.45,37.59,234357,906944554.28,4.78,-0.10,-0.04,1.32
2025-03-27,39.10,39.07,39.68,38.59,168123,657162323.82,2.80,0.51,0.20,0.95
2025-03-28,39.07,38.76,39.25,38.75,131021,510716584.48,1.28,-0.79,-0.31,0.74
2025-03-31,38.00,37.81,38.41,36.80,346852,1300492810.49,4.15,-2.45,-0.95,1.95
2025-04-01,38.12,35.18,38.18,34.03,734560,2609099428.34,10.98,-6.96,-2.63,4.13
2025-04-02,35.38,35.72,36.10,35.03,349144,1242567444.56,3.04,1.53,0.54,1.96
2025-04-03,35.56,36.59,36.75,35.40,321849,1168789453.25,3.78,2.44,0.87,1.81
2025-04-07,35.20,33.85,37.15,32.93,573826,1991895984.50,11.53,-7.49,-2.74,3.23
2025-04-08,34.00,34.28,35.24,33.66,384878,1317250269.04,4.67,1.27,0.43,2.17
2025-04-09,34.00,35.17,35.86,32.80,443596,1537075763.28,8.93,2.60,0.89,2.50
2025-04-10,36.10,38.69,38.69,35.58,529366,1984397819.49,8.84,10.01,3.52,2.46
2025-04-11,38.97,39.29,39.90,38.52,485448,1907052345.08,3.57,1.55,0.60,2.25
2025-04-14,39.70,40.51,41.20,39.50,423827,1722055141.02,4.33,3.11,1.22,1.97
2025-04-15,40.51,40.11,40.55,39.88,231706,929715611.26,1.65,-0.99,-0.40,1.08
2025-04-16,40.15,40.16,40.55,39.74,247235,991774245.63,2.02,0.12,0.05,1.15
2025-04-17,39.88,40.36,41.14,39.82,255121,1037437158.16,3.29,0.50,0.20,1.18
2025-04-18,40.36,40.19,40.45,39.76,152486,611216248.74,1.71,-0.42,-0.17,0.71
2025-04-21,40.05,41.60,41.85,40.04,271503,1114390984.84,4.50,3.51,1.41,1.26
2025-04-22,42.30,41.02,42.33,41.00,257884,1072839291.90,3.20,-1.39,-0.58,1.20
2025-04-23,41.44,41.23,41.57,40.89,178407,735044552.58,1.66,0.51,0.21,0.83
2025-04-24,41.22,41.64,42.23,40.85,287686,1195675771.80,3.35,0.99,0.41,1.34
2025-04-25,40.01,41.44,41.76,39.51,308603,1255531051.30,5.40,-0.48,-0.20,1.43
2025-04-28,41.44,41.15,42.60,41.08,160491,665229422.20,3.67,-0.70,-0.29,0.74
2025-04-29,41.64,41.25,41.88,40.60,210886,871311944.52,3.11,0.24,0.10,0.98
2025-04-30,41.13,42.20,42.50,41.11,285965,1201786685.73,3.37,2.30,0.95,1.33
2025-05-06,42.59,42.75,43.11,42.44,270224,1156471112.97,1.59,1.30,0.55,1.25
2025-05-07,43.18,43.32,43.89,42.97,398132,1726880404.19,2.15,1.33,0.57,1.85
2025-05-08,43.40,43.20,43.87,42.78,339387,1468697430.49,2.52,-0.28,-0.12,1.58
2025-05-09,43.23,42.75,43.48,42.62,227685,977554700.47,1.99,-1.04,-0.45,1.06
2025-05-12,43.00,42.85,44.28,42.80,437945,1901313542.65,3.46,0.23,0.10,2.03
2025-05-13,42.91,42.10,43.00,41.83,297206,1256823219.60,2.73,-1.75,-0.75,1.38
2025-05-14,42.00,41.95,42.27,41.34,242548,1012529711.29,2.21,-0.36,-0.15,1.13
2025-05-15,41.72,41.80,42.35,41.10,181697,756995236.72,2.98,-0.36,-0.15,0.84
