2014-01-27,4.04,4.88,4.88,4.04,19347,29003374.00,25.23,46.55,1.55,4.63
2014-01-28,5.39,5.39,5.39,5.39,34425,57558382.00,0.00,10.45,0.51,8.23
2014-01-29,5.95,5.67,5.95,5.66,251911,454870304.00,5.38,5.19,0.28,60.25
2014-01-30,5.25,5.53,5.82,5.25,149583,256855266.00,10.05,-2.47,-0.14,35.77
2014-02-07,5.58,5.96,6.06,5.58,158608,286190320.00,8.68,7.78,0.43,37.93
2014-02-10,5.94,6.48,6.48,5.84,173901,330229200.00,10.74,8.72,0.52,41.59
2014-02-11,6.42,7.15,7.15,6.35,198330,420583824.00,12.35,10.34,0.67,47.43
2014-02-12,7.32,7.88,7.88,7.32,155313,362802240.00,7.83,10.21,0.73,37.15
2014-02-13,7.88,7.86,8.38,7.55,209230,511114784.00,10.53,-0.25,-0.02,50.04
2014-02-14,7.70,8.47,8.65,7.57,186548,466355792.00,13.74,7.76,0.61,44.62
2014-02-17,8.42,9.33,9.33,8.23,171991,462283504.00,12.99,10.15,0.86,41.13
2014-02-18,9.15,9.58,10.25,9.04,188800,561047536.00,12.97,2.68,0.25,45.15
2014-02-19,9.49,9.25,9.71,8.65,130889,369241392.00,11.06,-3.44,-0.33,31.30
2014-02-20,9.15,9.28,9.82,8.68,130713,373584400.00,12.32,0.32,0.03,31.26
2014-02-21,9.12,8.94,9.41,8.75,85030,234532459.00,7.11,-3.66,-0.34,20.34
2014-02-24,8.92,9.01,9.14,8.73,64023,175016714.00,4.59,0.78,0.07,15.31
2014-02-25,9.22,8.67,9.60,8.32,128526,360023984.00,14.21,-3.77,-0.34,30.74
2014-02-26,8.48,8.49,8.61,7.82,96980,244068514.00,9.11,-2.08,-0.18,23.19
2014-02-27,8.28,8.05,8.62,7.91,91406,231426042.00,8.36,-5.18,-0.44,21.86
2014-02-28,8.11,8.87,8.87,7.93,134417,355688880.00,11.68,10.19,0.82,32.15
2014-03-03,9.15,9.78,9.78,9.04,105663,309891440.00,8.34,10.26,0.91,25.27
2014-03-04,10.32,9.61,10.78,9.48,211932,661385248.00,13.29,-1.74,-0.17,50.69
2014-03-05,9.32,9.27,9.61,8.87,126765,357644640.00,7.70,-3.54,-0.34,30.32
2014-03-06,9.08,10.22,10.22,9.02,153630,454477072.00,12.94,10.25,0.95,36.74
2014-03-07,9.95,9.35,10.14,9.18,123018,362878416.00,9.39,-8.51,-0.87,29.42
2014-03-10,8.91,8.75,9.25,8.57,69578,190143280.00,7.27,-6.42,-0.60,16.64
2014-03-11,8.66,9.08,9.34,8.65,78021,215561588.00,7.89,3.77,0.33,18.66
2014-03-12,8.95,8.61,9.14,8.23,75905,201053154.00,10.02,-5.18,-0.47,18.15
2014-03-13,8.55,8.48,8.72,8.35,43976,113889372.00,4.30,-1.51,-0.13,10.52
2014-03-14,8.43,8.50,8.78,8.38,49436,130179384.00,4.72,0.24,0.02,11.82
2014-03-17,8.42,8.55,8.58,8.33,39646,102732725.00,2.94,0.59,0.05,9.48
2014-03-18,8.50,8.60,8.90,8.43,51731,137632583.00,5.50,0.58,0.05,12.37
2014-03-19,8.47,8.28,8.48,8.06,59892,151007252.00,4.88,-3.72,-0.32,14.32
2014-03-20,8.18,7.88,8.24,7.82,46244,113961186.00,5.07,-4.83,-0.40,11.06
2014-03-21,7.75,8.04,8.12,7.61,41895,101406848.00,6.47,2.03,0.16,10.02
2014-03-24,8.10,7.46,8.20,7.43,56073,134309546.00,9.58,-7.21,-0.58,13.41
2014-03-25,7.41,7.41,7.51,7.18,40148,90637505.00,4.42,-0.67,-0.05,9.60
2014-03-26,7.38,7.36,7.54,7.32,26184,59699096.00,2.97,-0.67,-0.05,6.26
2014-03-27,7.38,6.85,7.52,6.82,41675,91471477.00,9.51,-6.93,-0.51,9.97
2014-03-28,6.82,7.07,7.37,6.49,70001,150731937.00,12.85,3.21,0.22,16.74
2014-03-31,7.05,6.44,7.05,6.37,55061,113260681.00,9.62,-8.91,-0.63,13.17
2014-04-01,6.34,6.56,6.78,6.25,48365,97878536.00,8.23,1.86,0.12,11.57
2014-04-02,6.38,7.02,7.21,6.25,83156,169399222.00,14.63,7.01,0.46,19.89
2014-04-03,6.76,7.11,7.37,6.60,96080,209907326.00,10.97,1.28,0.09,22.98
2014-04-04,6.82,6.89,7.11,6.81,47265,100786882.00,4.22,-3.09,-0.22,11.30
2014-04-08,6.84,7.13,7.28,6.62,66049,142945211.00,9.58,3.48,0.24,15.80
