MjAxNC0wNi0yNiw4LjUwLDEwLjMxLDEwLjMxLDguNTAsMjExOCwxMDA3MjA4OS4wMCwyNS44Niw0Ny4yOSwzLjMxLDEuMDY=
2014-06-27,11.39,11.39,11.39,11.39,575,3016865.00,0.00,10.48,1.08,0.29
2014-06-30,12.59,12.59,12.59,12.59,568,3281604.00,0.00,10.54,1.20,0.28
2014-07-01,13.90,13.90,13.90,13.90,717,4551807.00,0.00,10.41,1.31,0.36
2014-07-02,15.34,15.34,15.34,15.34,1110,7753000.00,0.00,10.36,1.44,0.55
2014-07-03,16.93,16.93,16.93,16.93,1791,13763350.00,0.00,10.37,1.59,0.90
2014-07-04,18.68,18.68,18.68,18.68,3730,31523931.00,0.00,10.34,1.75,1.86
2014-07-07,20.60,20.60,20.60,20.60,6172,57378480.00,0.00,10.28,1.92,3.08
2014-07-08,22.71,22.71,22.71,22.71,12808,130985677.00,0.00,10.24,2.11,6.40
2014-07-09,25.04,25.04,25.04,25.04,9353,105222712.00,0.00,10.26,2.33,4.67
2014-07-10,27.59,27.59,27.59,27.59,7917,97971761.00,0.00,10.18,2.55,3.96
2014-07-11,30.41,30.41,30.41,30.41,59590,811199760.00,0.00,10.22,2.82,29.78
2014-07-14,31.29,30.55,32.54,30.49,136316,1911435152.00,6.74,0.46,0.14,68.12
2014-07-15,31.27,29.16,31.27,28.96,77400,1043017424.00,7.56,-4.55,-1.39,38.68
2014-07-16,28.79,28.78,29.42,27.69,56886,729773648.00,5.93,-1.30,-0.38,28.43
2014-07-17,28.73,28.94,29.38,27.88,40254,518048768.00,5.21,0.56,0.16,20.12
2014-07-18,28.79,28.33,29.35,28.22,29669,382342800.00,3.90,-2.11,-0.61,14.83
2014-07-21,27.65,26.51,27.76,26.04,47693,572353632.00,6.07,-6.42,-1.82,23.83
2014-07-22,26.44,26.41,26.85,26.21,23379,277748768.00,2.41,-0.38,-0.10,11.68
2014-07-23,26.27,25.97,26.55,25.55,32277,377908416.00,3.79,-1.67,-0.44,16.13
2014-07-24,25.60,26.07,27.08,25.38,41385,490681472.00,6.55,0.39,0.10,20.68
2014-07-25,25.80,24.92,25.80,24.40,38522,433371536.00,5.37,-4.41,-1.15,19.25
2014-07-28,25.05,25.16,25.49,24.89,29664,335542944.00,2.41,0.96,0.24,14.82
2014-07-29,25.16,25.49,25.96,25.16,25919,298090112.00,3.18,1.31,0.33,12.95
2014-07-30,25.48,26.33,26.47,24.99,39161,451442544.00,5.81,3.30,0.84,19.57
2014-07-31,25.97,25.54,26.02,25.42,24604,283674432.00,2.28,-3.00,-0.79,12.30
2014-08-01,25.34,25.13,25.94,25.11,15007,171783121.00,3.25,-1.61,-0.41,7.50
2014-08-04,25.15,25.74,26.24,25.02,20328,235961539.00,4.85,2.43,0.61,10.16
2014-08-05,25.65,26.27,26.81,25.51,25006,295537456.00,5.05,2.06,0.53,12.50
2014-08-06,26.08,25.74,26.37,25.60,17235,200433812.00,2.93,-2.02,-0.53,8.61
2014-08-07,25.60,25.86,26.17,25.58,13772,159980911.00,2.29,0.47,0.12,6.88
2014-08-08,25.83,25.54,26.01,25.50,14933,172580157.00,1.97,-1.24,-0.32,7.46
2014-08-11,25.53,25.60,25.69,25.25,10667,122220312.00,1.72,0.23,0.06,5.33
2014-08-12,25.51,25.35,25.72,25.31,11655,133339981.00,1.60,-0.98,-0.25,5.82
2014-08-13,25.24,24.27,25.24,24.20,21509,238265489.00,4.10,-4.26,-1.08,10.75
2014-08-14,24.11,24.32,24.57,24.11,8799,96569955.00,1.90,0.21,0.05,4.40
2014-08-15,24.31,24.48,24.49,24.13,7130,78134181.00,1.48,0.66,0.16,3.56
2014-08-18,24.56,25.13,25.18,24.56,12688,142394106.00,2.53,2.66,0.65,6.34
2014-08-19,25.15,25.31,25.51,24.99,13317,151008464.00,2.07,0.72,0.18,6.66
2014-08-20,25.30,25.86,26.42,25.06,23118,268013191.00,5.37,2.17,0.55,11.55
2014-08-21,25.68,25.71,25.78,25.33,11887,136387695.00,1.74,-0.58,-0.15,5.94
2014-08-22,25.66,27.84,28.15,25.44,31587,381525792.00,10.54,8.28,2.13,15.79
2014-08-25,27.42,27.50,28.14,27.24,22577,281104208.00,3.23,-1.22,-0.34,11.28
2014-08-26,26.74,25.58,27.01,25.58,30102,353453904.00,5.20,-6.98,-1.92,15.04
2014-08-27,25.60,25.69,26.25,25.44,17445,202491241.00,3.17,0.43,0.11,8.72
2014-08-28,25.38,25.41,25.81,25.16,12832,146962430.00,2.53,-1.09,-0.28,6.41
2014-08-29,25.50,25.99,26.42,25.29,13958,162612156.00,4.45,2.28,0.58,6.98
2014-09-01,26.02,26.53,26.82,25.88,13973,166111921.00,3.62,2.08,0.54,6.98
2014-09-02,26.54,28.17,28.56,26.54,27779,347127632.00,7.61,6.18,1.64,13.88
2014-09-03,28.10,27.94,28.15,27.54,19808,247187496.00,2.17,-0.82,-0.23,9.90
2014-09-04,27.94,28.69,29.14,27.94,23139,299078992.00,4.29,2.68,0.75,11.56
2014-09-05,28.39,28.40,28.76,28.13,13431,170846015.00,2.20,-1.01,-0.29,6.71
2014-09-09,28.40,27.83,28.67,27.79,13485,169236262.00,3.10,-2.01,-0.57,6.74
2014-09-10,27.67,28.44,28.47,27.66,12558,159143724.00,2.91,2.19,0.61,6.28
2014-09-11,28.37,27.64,28.59,27.53,16344,205105775.00,3.73,-2.81,-0.80,8.17
2014-09-12,27.61,27.54,27.73,27.34,10231,126050253.00,1.41,-0.36,-0.10,5.11
2014-09-15,27.88,27.90,28.08,27.55,11586,144677873.00,1.92,1.31,0.36,5.79
2014-09-16,27.89,26.31,27.89,26.30,20926,254065753.00,5.70,-5.70,-1.59,10.46
2014-09-17,26.49,26.51,26.69,26.22,8514,101005555.00,1.79,0.76,0.20,4.26
2014-09-18,26.49,26.50,26.62,26.29,6530,77574278.00,1.24,-0.04,-0.01,3.26
2014-09-19,26.48,27.19,27.39,26.37,10677,129734162.00,3.85,2.60,0.69,5.34
2014-09-22,27.19,26.58,27.19,26.38,9532,113592470.00,2.98,-2.24,-0.61,4.76
2014-09-23,26.51,27.76,27.88,26.46,12993,159064389.00,5.34,4.44,1.18,6.49
2014-09-24,27.58,27.69,28.02,27.42,10069,125173480.00,2.16,-0.25,-0.07,5.03
2014-09-25,27.60,27.92,28.21,27.58,16525,206811490.00,2.28,0.83,0.23,8.26
2014-09-26,27.84,27.58,28.17,27.42,10254,127449048.00,2.69,-1.22,-0.34,5.12
2014-09-29,27.68,27.84,28.14,27.63,9255,115793449.00,1.85,0.94,0.26,4.62
2014-09-30,27.83,28.44,28.59,27.76,16862,213625308.00,2.98,2.16,0.60,8.43
2014-10-08,28.49,28.79,28.89,28.32,12470,159870318.00,2.00,1.23,0.35,6.23
2014-10-09,28.71,28.01,28.71,27.81,18814,237377857.00,3.13,-2.71,-0.78,9.40
2014-10-10,27.87,27.64,27.89,27.34,9712,120322322.00,1.96,-1.32,-0.37,4.85
2014-10-13,27.43,28.96,29.04,27.42,18990,241222472.00,5.86,4.78,1.32,9.49
2014-10-14,28.53,28.03,28.56,27.83,19361,243664501.00,2.52,-3.21,-0.93,9.68
2014-10-15,27.93,28.15,28.69,27.92,14039,178577557.00,2.75,0.43,0.12,7.02
2014-10-16,27.94,27.89,28.59,27.78,14429,182330790.00,2.88,-0.92,-0.26,7.21
2014-10-17,27.65,28.67,29.07,27.65,27242,347485104.00,5.09,2.80,0.78,13.61
2014-10-20,28.86,29.29,30.15,28.86,25451,336273488.00,4.50,2.16,0.62,12.72
2014-10-21,29.26,31.01,31.88,29.08,33889,463542416.00,9.56,5.87,1.72,16.94
2014-10-22,30.83,30.39,31.51,30.39,19438,268217876.00,3.61,-2.00,-0.62,9.71
2014-10-23,30.38,31.29,32.58,30.24,28426,402063856.00,7.70,2.96,0.90,14.21
2014-10-24,31.74,31.36,31.92,30.81,16232,227438160.00,3.55,0.22,0.07,8.11
2014-10-27,31.71,29.48,31.71,29.35,22225,301580736.00,7.53,-5.99,-1.88,11.11
2014-10-28,29.90,30.47,30.49,29.70,16986,228584445.00,2.68,3.36,0.99,8.49
2014-10-29,30.47,31.09,31.51,30.35,16828,232984099.00,3.81,2.03,0.62,8.41
2014-10-30,31.06,30.58,31.29,30.47,14838,204874893.00,2.64,-1.64,-0.51,7.42
2014-10-31,30.60,31.25,31.50,30.37,16065,222736747.00,3.70,2.19,0.67,8.03
2014-11-03,31.17,32.16,32.50,31.15,13176,188402078.00,4.32,2.91,0.91,6.58
2014-11-04,32.30,31.16,32.80,31.13,16079,228714811.00,5.19,-3.11,-1.00,8.04
2014-11-05,30.95,31.67,31.80,30.38,12674,176424856.00,4.56,1.64,0.51,6.33
2014-11-06,31.51,32.60,32.91,31.35,23076,334564624.00,4.93,2.94,0.93,11.53
2014-11-07,32.66,31.96,32.88,31.71,20016,288973008.00,3.59,-1.96,-0.64,10.00
2014-11-10,31.78,32.38,32.42,31.51,10859,155846678.00,2.85,1.31,0.42,5.43
2014-11-11,32.34,31.23,32.34,30.68,18497,260756902.00,5.13,-3.55,-1.15,9.24
2014-11-12,31.04,33.42,33.99,30.90,28655,420955280.00,9.89,7.01,2.19,14.32
2014-11-13,32.47,31.73,32.69,31.59,24525,352317536.00,3.29,-5.06,-1.69,12.26
2014-11-14,31.31,30.25,32.47,29.74,25015,348459136.00,8.60,-4.66,-1.48,12.50
2014-11-17,30.08,30.17,31.02,29.47,12795,173764893.00,5.12,-0.26,-0.08,6.39
2014-11-18,30.15,30.53,30.67,29.92,7955,107998270.00,2.49,1.19,0.36,3.98
2014-11-19,30.40,30.61,30.83,29.93,10055,137343807.00,2.95,0.26,0.08,5.03
2014-11-20,30.53,31.01,31.08,30.27,10886,149559958.00,2.65,1.31,0.40,5.44
2014-11-21,30.85,31.12,31.63,30.85,10181,142326897.00,2.52,0.35,0.11,5.09
2014-11-24,31.47,31.10,31.62,30.91,9930,138955828.00,2.28,-0.06,-0.02,4.96
2014-11-25,31.24,30.07,31.39,29.72,20234,273349744.00,5.37,-3.31,-1.03,10.11
2014-11-26,30.01,30.18,30.70,29.83,9361,126903424.00,2.89,0.37,0.11,4.68
2014-11-27,30.39,30.83,31.29,30.38,14236,196618382.00,3.02,2.15,0.65,7.11
2014-11-28,31.03,31.37,31.65,30.83,13836,193529288.00,2.66,1.75,0.54,6.91
2014-12-01,31.28,32.08,32.76,31.20,20232,290551856.00,4.97,2.26,0.71,10.11
2014-12-02,31.81,32.44,33.10,31.79,16392,239043801.00,4.08,1.12,0.36,8.19
2014-12-03,32.31,31.74,32.38,30.94,20861,294367504.00,4.44,-2.16,-0.70,10.43
2014-12-04,31.54,31.64,32.01,31.36,12772,181170596.00,2.05,-0.32,-0.10,6.38
2014-12-05,31.64,30.56,31.64,30.35,15808,217205339.00,4.08,-3.41,-1.08,7.90
2014-12-08,30.60,30.09,31.04,29.81,15594,211550470.00,4.02,-1.54,-0.47,7.79
2014-12-09,30.10,27.92,30.12,27.88,18287,236809181.00,7.44,-7.21,-2.17,9.14
2014-12-10,27.88,28.44,28.73,27.88,10762,136964164.00,3.04,1.86,0.52,5.38
2014-12-11,28.47,28.72,28.83,28.22,6876,88077191.00,2.14,0.98,0.28,3.44
2014-12-12,28.61,28.72,28.99,28.49,5130,65785681.00,1.74,0.00,0.00,2.56
2014-12-15,28.63,29.92,30.12,28.33,12297,163542858.00,6.23,4.18,1.20,6.15
2014-12-16,29.82,29.88,30.83,29.47,8505,113418866.00,4.55,-0.13,-0.04,4.25
