2025-01-02,7.60,7.65,7.82,7.51,96015,73701957.20,4.09,0.92,0.07,3.00
2025-01-03,7.60,7.13,7.65,7.09,133005,96775024.69,7.32,-6.80,-0.52,4.16
2025-01-06,7.03,7.42,7.84,6.77,212882,158657596.54,15.01,4.07,0.29,6.65
2025-01-07,7.33,7.38,7.42,7.17,157534,114639844.01,3.37,-0.54,-0.04,4.92
2025-01-08,7.38,7.55,7.70,7.20,152298,113388395.12,6.78,2.30,0.17,4.76
2025-01-09,7.43,7.75,7.96,7.38,147777,113960375.21,7.68,2.65,0.20,4.62
2025-01-10,7.74,7.33,7.80,7.33,110557,83302538.13,6.06,-5.42,-0.42,3.45
2025-01-13,7.25,7.38,7.54,7.05,71141,51569976.86,6.68,0.68,0.05,2.22
2025-01-14,7.45,7.75,7.75,7.43,119002,90757675.17,4.34,5.01,0.37,3.72
2025-01-15,7.75,7.96,8.05,7.66,179534,141500615.72,5.03,2.71,0.21,5.61
2025-01-16,8.05,8.76,8.76,7.84,412328,349696213.06,11.56,10.05,0.80,12.88
2025-01-17,8.46,8.20,8.58,8.16,324499,269685933.70,4.79,-6.39,-0.56,10.14
2025-01-20,8.37,9.02,9.02,8.13,323813,280066288.92,10.85,10.00,0.82,10.12
2025-01-21,9.75,8.90,9.89,8.54,517536,475912365.28,14.97,-1.33,-0.12,16.17
2025-01-22,8.41,8.01,8.44,8.01,225349,183832047.36,4.83,-10.00,-0.89,7.04
2025-01-23,7.79,7.70,8.17,7.70,234148,184700036.86,5.87,-3.87,-0.31,7.32
2025-01-24,7.65,7.95,8.25,7.64,186629,148531816.52,7.92,3.25,0.25,5.83
2025-01-27,7.86,7.73,8.08,7.70,139303,109423765.40,4.78,-2.77,-0.22,4.35
2025-02-05,7.75,7.96,8.08,7.62,118818,93441714.32,5.95,2.98,0.23,3.71
2025-02-06,7.95,8.16,8.20,7.87,120162,96789676.92,4.15,2.51,0.20,3.75
2025-02-07,8.12,8.15,8.23,8.03,136557,111278312.85,2.45,-0.12,-0.01,4.27
2025-02-10,8.12,8.38,8.41,8.10,150781,124878702.89,3.80,2.82,0.23,4.71
2025-02-11,8.35,8.47,8.55,8.26,142801,119767628.98,3.46,1.07,0.09,4.46
2025-02-12,8.32,8.39,8.41,8.28,107929,90144675.88,1.53,-0.94,-0.08,3.37
2025-02-13,8.34,8.42,8.55,8.25,131136,109815866.08,3.58,0.36,0.03,4.10
2025-02-14,8.34,8.18,8.39,8.15,112343,92508150.49,2.85,-2.85,-0.24,3.51
2025-02-17,8.18,8.39,8.45,8.18,121795,101392649.24,3.30,2.57,0.21,3.81
2025-02-18,8.34,7.93,8.36,7.90,114139,92731368.92,5.48,-5.48,-0.46,3.57
2025-02-19,7.95,8.02,8.05,7.86,75165,60023875.16,2.40,1.13,0.09,2.35
2025-02-20,8.00,8.38,8.76,7.99,229924,193172386.43,9.60,4.49,0.36,7.18
2025-02-21,8.31,8.25,8.47,8.10,151005,124372624.28,4.42,-1.55,-0.13,4.72
2025-02-24,8.24,8.21,8.36,8.16,101437,83456621.46,2.42,-0.48,-0.04,3.17
2025-02-25,8.13,8.11,8.26,8.06,73197,59874229.66,2.44,-1.22,-0.10,2.29
2025-02-26,8.16,8.13,8.23,8.07,75715,61548321.52,1.97,0.25,0.02,2.37
2025-02-27,8.11,8.05,8.19,7.91,83583,67202269.28,3.44,-0.98,-0.08,2.61
2025-02-28,8.04,7.77,8.04,7.72,79143,62321720.80,3.98,-3.48,-0.28,2.47
2025-03-03,7.83,7.87,7.95,7.78,66618,52429624.20,2.19,1.29,0.10,2.08
2025-03-04,7.86,7.94,8.04,7.78,55126,43588901.00,3.30,0.89,0.07,1.72
2025-03-05,7.91,7.90,7.99,7.77,60112,47212155.00,2.77,-0.50,-0.04,1.88
2025-03-06,7.90,7.97,8.03,7.82,78718,62647035.01,2.66,0.89,0.07,2.46
2025-03-07,7.97,7.83,8.05,7.80,74890,59233005.48,3.14,-1.76,-0.14,2.34
2025-03-10,7.86,7.77,7.89,7.75,57916,45199580.12,1.79,-0.77,-0.06,1.81
2025-03-11,7.62,7.78,7.79,7.62,49734,38461243.16,2.19,0.13,0.01,1.55
2025-03-12,7.76,7.78,7.85,7.76,47909,37332139.20,1.16,0.00,0.00,1.50
2025-03-13,7.82,7.69,7.82,7.56,65298,50008697.00,3.34,-1.16,-0.09,2.04
2025-03-14,7.68,7.84,7.87,7.62,67132,52143251.12,3.25,1.95,0.15,2.10
2025-03-17,7.84,7.91,8.00,7.83,75247,59520385.60,2.17,0.89,0.07,2.35
2025-03-18,7.90,7.95,7.98,7.83,60698,47892611.20,1.90,0.51,0.04,1.90
2025-03-19,7.93,7.85,7.98,7.81,48581,38240455.68,2.14,-1.26,-0.10,1.52
