MjAxMC0wMS0wNCw0Ljg4LDQuOTEsNC45OCw0Ljg1LDI5MTYyLDQ1MTI1MDE2Ljc5LDIuNjcsMC44MiwwLjA0LDEuNjc=
2010-01-05,4.89,5.20,5.22,4.83,82018,129807891.51,7.94,5.91,0.29,4.71
2010-01-06,5.15,5.05,5.18,5.04,59816,96271463.42,2.69,-2.88,-0.15,3.43
2010-01-07,5.00,4.82,5.08,4.80,46584,71959951.96,5.54,-4.55,-0.23,2.67
2010-01-08,4.81,4.86,4.90,4.75,34558,52584107.26,3.11,0.83,0.04,1.98
2010-01-11,4.90,4.75,4.90,4.62,45093,67366082.86,5.76,-2.26,-0.11,2.59
2010-01-12,4.75,4.83,4.88,4.70,39501,59848963.53,3.79,1.68,0.08,2.27
2010-01-13,4.74,4.87,4.97,4.70,47482,72703866.46,5.59,0.83,0.04,2.72
2010-01-14,4.86,4.99,5.01,4.84,45262,70379425.08,3.49,2.46,0.12,2.60
2010-01-15,4.97,5.06,5.12,4.97,52303,83040347.77,3.01,1.40,0.07,3.00
2010-01-18,5.02,5.11,5.13,5.00,42551,68045732.41,2.57,0.99,0.05,2.44
2010-01-19,5.11,5.02,5.17,5.02,43232,69013865.77,2.94,-1.76,-0.09,2.48
2010-01-20,5.17,5.20,5.51,5.17,146183,243469396.12,6.77,3.59,0.18,8.39
2010-01-21,5.09,4.90,5.17,4.70,79432,122950264.71,9.04,-5.77,-0.30,4.56
2010-01-22,4.75,4.55,4.75,4.47,68674,99132220.16,5.71,-7.14,-0.35,3.94
2010-01-25,4.55,4.33,4.61,4.29,45328,63680382.09,7.03,-4.84,-0.22,2.60
2010-01-26,4.33,4.18,4.38,4.10,29604,39883617.57,6.47,-3.46,-0.15,1.70
2010-01-27,4.22,4.12,4.25,4.12,30525,40548725.95,3.11,-1.44,-0.06,1.75
2010-01-28,4.13,4.18,4.22,4.06,23953,31630593.07,3.88,1.46,0.06,1.37
2010-01-29,4.19,4.17,4.28,4.11,28896,38605554.90,4.07,-0.24,-0.01,1.66
2010-02-01,4.16,3.99,4.16,3.89,29425,37477427.38,6.47,-4.32,-0.18,1.69
2010-02-02,4.04,4.00,4.12,3.99,22946,29587428.84,3.26,0.25,0.01,1.32
2010-02-03,4.02,4.11,4.13,3.81,29253,37234165.31,8.00,2.75,0.11,1.68
2010-02-04,4.05,4.09,4.18,4.02,31097,40550928.33,3.89,-0.49,-0.02,1.78
2010-02-05,4.02,3.82,4.04,3.80,44403,55074011.69,5.87,-6.60,-0.27,2.55
2010-02-08,3.84,3.88,3.88,3.79,34461,42211301.55,2.36,1.57,0.06,1.98
2010-02-09,3.85,3.85,3.88,3.81,20415,25090284.81,1.80,-0.77,-0.03,1.17
2010-02-10,3.89,3.90,3.90,3.82,36568,45101052.30,2.08,1.30,0.05,2.10
2010-02-11,3.91,3.93,3.95,3.89,45799,57158842.60,1.54,0.77,0.03,2.63
2010-02-12,3.95,3.98,4.00,3.88,39475,49599631.01,3.05,1.27,0.05,2.26
2010-02-22,3.97,3.99,4.02,3.93,37192,47230181.03,2.26,0.25,0.01,2.13
2010-02-23,4.00,3.98,4.05,3.83,49784,62408072.01,5.51,-0.25,-0.01,2.86
2010-02-24,3.95,4.22,4.27,3.91,85940,111780750.45,9.05,6.03,0.24,4.93
2010-02-25,4.21,4.25,4.28,4.14,86198,115224151.59,3.32,0.71,0.03,4.95
2010-02-26,4.22,4.32,4.40,4.21,74702,101940218.56,4.47,1.65,0.07,4.29
2010-03-01,4.29,4.37,4.37,4.27,54215,74335441.05,2.31,1.16,0.05,3.11
2010-03-02,4.40,4.40,4.50,4.36,70295,98255613.95,3.20,0.69,0.03,4.03
2010-03-03,4.36,4.47,4.48,4.33,55357,77351312.09,3.41,1.59,0.07,3.18
2010-03-04,4.46,4.15,4.51,4.09,67892,93282770.25,9.40,-7.16,-0.32,3.90
2010-03-05,4.18,4.17,4.23,4.12,33838,45019324.44,2.65,0.48,0.02,1.94
2010-03-08,4.16,4.29,4.34,4.15,42815,57683564.70,4.56,2.88,0.12,2.46
2010-03-09,4.31,4.26,4.32,4.21,34410,46565596.31,2.56,-0.70,-0.03,1.97
2010-03-10,4.25,4.16,4.29,4.11,29475,39223602.06,4.23,-2.35,-0.10,1.69
2010-03-11,4.18,4.10,4.19,4.06,30798,40263149.88,3.13,-1.44,-0.06,1.77
2010-03-12,4.10,4.08,4.17,4.08,25351,33168549.12,2.20,-0.49,-0.02,1.45
2010-03-15,4.12,3.99,4.12,3.98,19976,25618481.24,3.43,-2.21,-0.09,1.15
2010-03-16,3.96,4.03,4.05,3.95,13691,17424077.11,2.51,1.00,0.04,0.79
2010-03-17,4.04,4.17,4.17,4.02,26810,35028721.84,3.72,3.47,0.14,1.54
