2014-01-28,11.75,14.56,14.56,11.75,12079,48426086.00,29.83,54.56,5.14,9.22
2014-01-29,16.24,16.24,16.24,16.24,16932,75163101.00,0.00,11.54,1.68,12.93
2014-01-30,14.83,15.00,15.66,14.39,57659,235979754.00,7.82,-7.64,-1.24,44.01
2014-02-07,14.79,15.54,16.03,14.63,41106,174360871.00,9.33,3.60,0.54,31.38
2014-02-10,15.61,17.32,17.32,15.52,43914,200465943.00,11.58,11.45,1.78,33.52
2014-02-11,17.33,18.29,18.94,16.84,48968,234775219.00,12.12,5.60,0.97,37.38
2014-02-12,18.37,19.56,20.11,17.74,38107,195983687.00,12.96,6.94,1.27,29.09
2014-02-13,19.21,18.81,20.22,18.45,36970,191171269.00,9.05,-3.83,-0.75,28.22
2014-02-14,18.79,20.92,20.92,18.79,34094,183338440.00,11.32,11.22,2.11,26.03
2014-02-17,21.91,23.23,23.23,21.91,22244,133636483.00,6.31,11.04,2.31,16.98
2014-02-18,24.82,24.35,25.65,23.92,43281,278823616.00,7.45,4.82,1.12,33.04
2014-02-19,24.70,25.62,25.87,22.75,44039,283108128.00,12.81,5.22,1.27,33.62
2014-02-20,24.87,25.16,26.74,24.42,36146,242035842.00,9.06,-1.80,-0.46,27.59
2014-02-21,25.16,24.82,25.85,24.33,20013,129961547.00,6.04,-1.35,-0.34,15.28
2014-02-24,24.62,24.20,24.62,23.74,21411,135646693.00,3.55,-2.50,-0.62,16.34
2014-02-25,24.61,23.07,25.06,21.92,37439,234730259.00,12.98,-4.67,-1.13,28.58
2014-02-26,22.41,23.92,23.99,22.37,23305,142666268.00,7.02,3.68,0.85,17.79
2014-02-27,23.99,23.29,24.04,22.39,17336,105757697.00,6.90,-2.63,-0.63,13.23
2014-02-28,23.15,25.45,25.66,22.45,31527,201804219.00,13.78,9.27,2.16,24.07
2014-03-03,25.29,26.41,26.91,24.84,35329,241688577.00,8.13,3.77,0.96,26.97
2014-03-04,25.99,24.83,26.47,24.42,31622,209527263.00,7.76,-5.98,-1.58,24.14
2014-03-05,24.57,24.28,25.52,24.20,20524,133076715.00,5.32,-2.22,-0.55,15.67
2014-03-06,23.59,24.53,25.19,22.76,24087,150997304.00,10.01,1.03,0.25,18.39
2014-03-07,24.14,22.02,24.14,21.86,26097,158033619.00,9.29,-10.23,-2.51,19.92
2014-03-10,21.57,20.87,21.57,20.82,14106,79211065.00,3.41,-5.22,-1.15,10.77
2014-03-11,21.20,21.08,21.69,20.24,13357,74632981.00,6.95,1.01,0.21,10.20
2014-03-12,20.86,20.58,21.19,19.78,13496,73547942.00,6.69,-2.37,-0.50,10.30
2014-03-13,20.69,20.89,21.15,20.49,9791,54345937.00,3.21,1.51,0.31,7.47
2014-03-14,20.78,20.52,21.28,20.25,11094,61472205.00,4.93,-1.77,-0.37,8.47
