2016-07-05,7.36,8.86,8.86,7.36,46,73621.00,24.55,45.01,2.75,0.02
2016-07-06,9.76,9.76,9.76,9.76,10,17830.00,0.00,10.16,0.90,0.01
2016-07-07,10.75,10.75,10.75,10.75,20,39220.00,0.00,10.14,0.99,0.01
2016-07-08,11.84,11.84,11.84,11.84,31,66867.00,0.00,10.14,1.09,0.02
2016-07-11,13.04,13.04,13.04,13.04,20,47460.00,0.00,10.14,1.20,0.01
2016-07-12,14.35,14.35,14.35,14.35,31,80910.00,0.00,10.05,1.31,0.02
2016-07-13,15.80,15.80,15.80,15.80,41,117711.00,0.00,10.10,1.45,0.02
2016-07-14,17.40,17.40,17.40,17.40,52,164216.00,0.00,10.13,1.60,0.03
2016-07-15,19.15,19.15,19.15,19.15,65,225810.00,0.00,10.06,1.75,0.03
2016-07-18,21.08,21.08,21.08,21.08,71,271291.00,0.00,10.08,1.93,0.04
2016-07-19,23.20,23.20,23.20,23.20,77,321571.00,0.00,10.06,2.12,0.04
2016-07-20,25.54,25.54,25.54,25.54,93,429939.00,0.00,10.09,2.34,0.05
2016-07-21,28.10,28.10,28.10,28.10,150,761122.00,0.00,10.02,2.56,0.07
2016-07-22,30.93,30.93,30.93,30.93,546,3054324.00,0.00,10.07,2.83,0.27
2016-07-25,34.04,34.04,34.04,34.04,964,5932107.00,0.00,10.05,3.11,0.48
2016-07-26,37.45,37.45,37.45,37.45,873,5908464.00,0.00,10.02,3.41,0.44
2016-07-27,41.22,41.22,41.22,41.22,2038,15172910.00,0.00,10.07,3.77,1.02
2016-07-28,43.34,44.84,45.22,41.53,113457,896527344.00,8.95,8.78,3.62,56.73
2016-07-29,43.74,45.74,48.73,42.63,105443,869724736.00,13.60,2.01,0.90,52.72
2016-08-01,45.41,44.47,45.47,41.58,69950,556541904.00,8.50,-2.78,-1.27,34.97
2016-08-02,44.79,44.63,47.08,42.81,67678,552976320.00,9.60,0.36,0.16,33.84
2016-08-03,43.49,48.28,49.08,42.91,93392,779648192.00,13.82,8.18,3.65,46.70
2016-08-04,47.23,47.07,48.96,46.17,75738,648326912.00,5.78,-2.51,-1.21,37.87
2016-08-05,46.59,45.19,47.19,44.72,53074,439439008.00,5.25,-3.99,-1.88,26.54
2016-08-08,44.30,43.24,44.57,41.69,46040,357107152.00,6.37,-4.32,-1.95,23.02
2016-08-09,43.06,46.28,46.52,42.85,62056,500003504.00,8.49,7.03,3.04,31.03
2016-08-10,46.13,48.59,50.41,45.69,82314,716647232.00,10.20,4.99,2.31,41.16
2016-08-11,47.63,46.19,50.16,46.02,65186,567327344.00,8.52,-4.94,-2.40,32.59
2016-08-12,45.18,48.80,49.29,45.18,58453,499795264.00,8.90,5.65,2.61,29.23
2016-08-15,48.81,50.24,51.76,48.81,69649,632919488.00,6.05,2.95,1.44,34.82
2016-08-16,49.62,49.80,51.73,49.19,65992,598425424.00,5.06,-0.88,-0.44,33.00
2016-08-17,49.19,50.34,50.34,47.63,58014,515323152.00,5.44,1.08,0.54,29.01
2016-08-18,50.64,55.39,55.39,50.63,99755,965988736.00,9.46,10.03,5.05,49.88
2016-08-19,54.30,51.84,54.58,51.41,70149,669459008.00,5.72,-6.41,-3.55,35.07
2016-08-22,51.48,48.02,52.93,47.94,53868,488467136.00,9.63,-7.37,-3.82,26.93
2016-08-23,48.37,49.22,49.84,48.05,40183,355644784.00,3.73,2.50,1.20,20.09
2016-08-24,49.09,47.35,49.45,46.99,41441,357328368.00,5.00,-3.80,-1.87,20.72
2016-08-25,45.91,46.87,48.00,44.63,42866,355952144.00,7.12,-1.01,-0.48,21.43
2016-08-26,47.08,44.97,47.80,44.92,34477,288553072.00,6.14,-4.05,-1.90,17.24
2016-08-29,44.32,44.52,45.42,43.75,23019,185030075.00,3.71,-1.00,-0.45,11.51
2016-08-30,44.79,46.63,47.84,44.62,43828,367206832.00,7.23,4.74,2.11,21.91
2016-08-31,45.97,48.00,49.14,44.30,53924,459216832.00,10.38,2.94,1.37,26.96
2016-09-01,48.24,48.28,51.52,48.19,56724,508768464.00,6.94,0.58,0.28,28.36
2016-09-02,47.78,50.30,51.07,46.52,55622,494527024.00,9.42,4.18,2.02,27.81
2016-09-05,49.84,45.71,49.96,45.33,59755,513607776.00,9.20,-9.13,-4.59,29.88
2016-09-06,44.80,47.35,47.72,44.35,41178,342545840.00,7.37,3.59,1.64,20.59
2016-09-07,46.91,45.58,47.61,45.58,29346,245839772.00,4.29,-3.74,-1.77,14.67
2016-09-08,45.42,45.02,46.08,44.41,23646,193183101.00,3.66,-1.23,-0.56,11.82
2016-09-09,44.67,44.02,45.02,43.74,20302,161673344.00,2.84,-2.22,-1.00,10.15
2016-09-12,42.58,42.66,43.47,42.08,16287,125772097.00,3.16,-3.09,-1.36,8.14
2016-09-13,43.18,42.74,43.33,42.58,12359,95833929.00,1.76,0.19,0.08,6.18
2016-09-14,41.97,42.31,43.12,41.86,11436,87743828.00,2.95,-1.01,-0.43,5.72
2016-09-19,42.35,44.21,45.90,42.35,24113,192224472.00,8.39,4.49,1.90,12.06
2016-09-20,44.30,43.80,44.74,43.33,12531,99049198.00,3.19,-0.93,-0.41,6.27
2016-09-21,43.49,43.24,44.27,43.12,16418,129406628.00,2.63,-1.28,-0.56,8.21
2016-09-22,44.24,42.95,44.24,42.94,15980,125760431.00,3.01,-0.67,-0.29,7.99
2016-09-23,42.80,40.91,43.30,40.87,25216,190788727.00,5.66,-4.75,-2.04,12.61
2016-09-26,40.42,37.25,40.42,37.22,24637,171593569.00,7.82,-8.95,-3.66,12.32
2016-09-27,37.14,37.99,38.13,37.12,14712,100056479.00,2.71,1.99,0.74,7.36
2016-09-28,38.02,37.52,38.50,37.49,12137,83103648.00,2.66,-1.24,-0.47,6.07
2016-09-29,37.80,37.85,38.62,37.24,14443,99120755.00,3.68,0.88,0.33,7.22
2016-09-30,37.86,37.51,37.88,37.36,9031,61311325.00,1.37,-0.90,-0.34,4.52
2016-10-10,37.80,38.92,39.24,37.64,15531,108241740.00,4.27,3.76,1.41,7.77
2016-10-11,38.99,39.19,39.36,38.64,13833,97552393.00,1.85,0.69,0.27,6.92
2016-10-12,38.79,40.83,40.97,38.43,28890,209566618.00,6.48,4.18,1.64,14.44
2016-10-13,40.47,40.03,40.66,39.55,16013,115999140.00,2.72,-1.96,-0.80,8.01
2016-10-14,39.85,40.55,41.97,39.85,21074,155940075.00,5.30,1.30,0.52,10.54
2016-10-17,40.63,39.29,40.95,39.03,16524,118953460.00,4.73,-3.11,-1.26,8.26
2016-10-18,39.04,39.89,39.95,38.79,11688,83270532.00,2.95,1.53,0.60,5.84
2016-10-19,39.97,40.25,40.85,39.78,13463,98184027.00,2.68,0.90,0.36,6.73
2016-10-20,40.24,41.49,41.80,40.14,25382,189147767.00,4.12,3.08,1.24,12.69
2016-10-21,41.02,41.08,41.33,39.88,23518,172736420.00,3.49,-0.99,-0.41,11.76
2016-10-24,41.00,41.07,41.35,40.69,14392,106606769.00,1.61,-0.02,-0.01,7.20
2016-10-25,41.07,41.52,42.01,40.74,21630,162187142.00,3.09,1.10,0.45,10.82
2016-10-26,41.80,41.20,42.35,41.13,19202,144625132.00,2.94,-0.77,-0.32,9.60
2016-10-27,40.52,41.13,41.41,40.52,13365,98956154.00,2.16,-0.17,-0.07,6.68
2016-10-28,41.41,40.30,41.67,40.22,15226,112119529.00,3.53,-2.02,-0.83,7.61
2016-10-31,40.09,38.78,40.09,38.68,13507,95303191.00,3.50,-3.77,-1.52,6.75
2016-11-01,39.02,39.95,40.20,38.95,12291,88098458.00,3.22,3.02,1.17,6.15
2016-11-02,39.86,40.02,40.37,39.61,11087,80334869.00,1.90,0.18,0.07,5.54
2016-11-03,39.91,40.40,41.46,39.64,17639,128916874.00,4.55,0.95,0.38,8.82
2016-11-04,40.41,41.22,41.69,40.25,19425,144511984.00,3.56,2.03,0.82,9.71
2016-11-07,41.22,41.09,42.29,40.79,17524,131481593.00,3.64,-0.32,-0.13,8.76
2016-11-08,41.27,41.69,41.79,40.87,13123,98094736.00,2.24,1.46,0.60,6.56
2016-11-09,41.74,42.47,43.30,40.80,29149,221521587.00,6.00,1.87,0.78,14.57
2016-11-10,43.08,43.49,44.29,42.91,30962,243700227.00,3.25,2.40,1.02,15.48
2016-11-11,43.08,43.21,43.79,42.34,22529,175120346.00,3.33,-0.64,-0.28,11.26
2016-11-14,43.18,44.19,44.69,41.91,25602,203076839.00,6.43,2.27,0.98,12.80
2016-11-15,44.30,43.63,44.63,42.93,15850,124634718.00,3.85,-1.27,-0.56,7.92
2016-11-16,43.74,42.35,44.12,42.35,12423,96171066.00,4.06,-2.93,-1.28,6.21
2016-11-17,42.14,40.90,42.30,40.75,14215,105949722.00,3.66,-3.42,-1.45,7.11
2016-11-18,41.52,42.69,42.84,40.97,20669,157739900.00,4.57,4.38,1.79,10.33
2016-11-21,42.67,43.63,44.24,42.20,22149,174163017.00,4.78,2.20,0.94,11.07
2016-11-22,44.47,44.37,46.38,43.90,32908,266892782.00,5.68,1.70,0.74,16.45
2016-11-23,44.45,43.80,44.45,43.13,15401,121681578.00,2.97,-1.28,-0.57,7.70
2016-11-24,43.58,43.75,45.02,43.30,17234,137639212.00,3.93,-0.11,-0.05,8.62
2016-11-25,43.12,43.97,44.02,41.54,20252,156107223.00,5.67,0.50,0.22,10.13
2016-11-28,43.47,41.89,43.87,41.85,16680,128258833.00,4.59,-4.73,-2.08,8.34
2016-11-29,41.89,40.80,42.32,40.80,15553,116135948.00,3.63,-2.60,-1.09,7.78
2016-11-30,40.81,41.56,42.01,40.81,16422,123172736.00,2.94,1.86,0.76,8.21
2016-12-01,41.57,41.94,42.35,41.16,11349,85804751.00,2.86,0.91,0.38,5.67
2016-12-02,41.97,39.85,42.33,39.42,14436,106243035.00,6.94,-4.98,-2.09,7.22
2016-12-05,39.30,40.00,40.29,38.52,7140,51157496.00,4.44,0.38,0.15,3.57
2016-12-06,40.00,40.15,40.59,39.75,4835,35111256.00,2.10,0.38,0.15,2.42
