2010-01-04,7.45,7.65,7.73,7.40,38015,90891870.29,4.46,3.38,0.25,13.58
2010-01-05,7.67,7.70,7.76,7.63,36394,87973976.30,1.70,0.65,0.05,13.00
2010-01-06,7.73,7.68,7.86,7.68,41981,102264991.86,2.34,-0.26,-0.02,14.99
2010-01-07,7.70,7.69,7.81,7.65,38680,93776805.82,2.08,0.13,0.01,13.81
2010-01-08,7.68,7.70,7.79,7.43,46277,111271402.68,4.68,0.13,0.01,16.53
2010-01-11,7.70,8.06,8.09,7.50,56130,138312189.33,7.66,4.68,0.36,20.05
2010-01-12,7.96,8.18,8.26,7.94,46405,118374014.86,3.97,1.49,0.12,16.57
2010-01-13,8.03,8.30,8.36,7.96,37578,96940065.08,4.89,1.47,0.12,13.42
2010-01-14,8.31,8.49,8.63,8.26,36905,98123003.73,4.46,2.29,0.19,13.18
2010-01-15,8.43,8.76,8.78,8.33,38599,103733718.72,5.30,3.18,0.27,13.79
2010-01-18,8.63,8.74,8.85,8.48,40247,109083854.95,4.22,-0.23,-0.02,14.37
2010-01-19,8.74,8.71,8.80,8.60,40842,111202971.97,2.29,-0.34,-0.03,14.59
2010-01-20,8.63,8.10,8.78,7.96,44196,116773834.26,9.41,-7.00,-0.61,15.78
2010-01-21,8.07,8.40,8.46,8.07,24464,63555169.92,4.81,3.70,0.30,8.74
2010-01-22,8.40,8.50,8.58,8.14,35496,93477486.94,5.24,1.19,0.10,12.68
2010-01-25,8.41,8.37,8.56,8.25,20541,54295455.15,3.65,-1.53,-0.13,7.34
2010-01-26,8.39,8.20,8.46,8.06,22033,56715225.76,4.78,-2.03,-0.17,7.87
2010-01-27,8.16,8.06,8.27,8.03,14726,37718288.43,2.93,-1.71,-0.14,5.26
2010-01-28,8.06,8.13,8.21,8.05,12914,32985346.66,1.99,0.87,0.07,4.61
2010-01-29,8.10,8.15,8.29,8.06,12968,33267291.69,2.83,0.25,0.02,4.63
2010-02-01,8.08,7.51,8.19,7.48,25296,61898559.78,8.71,-7.85,-0.64,9.03
2010-02-02,7.53,7.28,7.68,7.28,18541,43361524.27,5.33,-3.06,-0.23,6.62
2010-02-03,7.26,7.31,7.39,6.73,20629,45936822.01,9.07,0.41,0.03,7.37
2010-02-04,7.26,7.13,7.29,7.09,18648,42256157.85,2.74,-2.46,-0.18,6.66
2010-02-05,6.96,6.61,6.97,6.53,19341,41490217.77,6.17,-7.29,-0.52,6.91
2010-02-08,6.38,6.92,6.95,6.38,17028,36707689.46,8.62,4.69,0.31,6.08
2010-02-09,6.89,7.22,7.23,6.86,21299,47826840.91,5.35,4.34,0.30,7.61
2010-02-10,7.30,7.43,7.43,7.22,18739,43442316.00,2.91,2.91,0.21,6.69
2010-02-11,7.44,7.37,7.48,7.36,15354,35787444.81,1.62,-0.81,-0.06,5.48
2010-02-12,7.45,7.39,7.45,7.36,12908,30081630.80,1.22,0.27,0.02,4.61
2010-02-22,7.35,7.56,7.58,7.32,19410,45649619.59,3.52,2.30,0.17,6.93
2010-02-23,7.52,7.38,7.52,7.26,18310,42490823.72,3.44,-2.38,-0.18,6.54
2010-02-24,7.33,7.46,7.46,7.26,14196,33070308.63,2.71,1.08,0.08,5.07
2010-02-25,7.50,7.65,7.71,7.46,26544,63346064.18,3.35,2.55,0.19,9.48
2010-02-26,7.63,7.43,7.70,7.41,28507,67458163.13,3.79,-2.88,-0.22,10.18
2010-03-01,7.36,7.29,7.38,7.23,23532,54121176.98,2.02,-1.88,-0.14,8.40
2010-03-02,7.33,7.33,7.43,7.25,15798,36527507.67,2.47,0.55,0.04,5.64
2010-03-03,7.37,7.53,7.53,7.34,21498,50408190.39,2.59,2.73,0.20,7.68
2010-03-04,7.54,7.36,7.69,7.30,29578,70347474.04,5.18,-2.26,-0.17,10.56
2010-03-08,7.43,7.26,7.45,7.13,12354,28214600.76,4.35,-1.36,-0.10,4.41
2010-03-09,7.23,7.26,7.39,7.14,11681,26671226.75,3.44,0.00,0.00,4.17
2010-03-10,7.26,7.25,7.38,7.16,6456,14758251.56,3.03,-0.14,-0.01,2.31
2010-03-11,7.23,7.18,7.28,7.13,6794,15405457.82,2.07,-0.97,-0.07,2.43
2010-03-12,7.15,7.05,7.23,7.04,11647,26135141.49,2.65,-1.81,-0.13,4.16
2010-03-15,7.00,7.10,7.16,7.00,7144,15996589.91,2.27,0.71,0.05,2.55
2010-03-16,7.12,7.22,7.24,7.12,9183,20857254.25,1.69,1.69,0.12,3.28
2010-03-17,7.25,7.34,7.37,7.20,13544,31132334.89,2.35,1.66,0.12,4.84
2010-03-18,7.34,7.42,7.46,7.30,12540,29183544.11,2.18,1.09,0.08,4.48
2010-03-19,7.37,7.42,7.46,7.36,9914,23104715.42,1.35,0.00,0.00,3.54
2010-03-22,7.43,7.38,7.46,7.35,9509,22102657.93,1.48,-0.54,-0.04,3.40
2010-03-23,7.38,7.13,7.38,7.13,13934,31717688.43,3.39,-3.39,-0.25,4.98
2010-03-24,7.17,7.16,7.23,7.09,10285,23226551.77,1.96,0.42,0.03,3.67
2010-03-25,7.20,7.38,7.43,7.20,20134,46680636.23,3.21,3.07,0.22,7.19
2010-03-26,7.38,7.32,7.42,7.20,9713,22405615.81,2.98,-0.81,-0.06,3.47
2010-03-29,7.32,7.33,7.39,7.24,10258,23574669.57,2.05,0.14,0.01,3.66
2010-03-30,7.35,7.50,7.52,7.33,19402,45492296.82,2.59,2.32,0.17,6.93
2010-03-31,7.50,7.56,7.65,7.48,20864,49817658.53,2.27,0.80,0.06,7.45
2010-04-01,7.56,7.82,7.89,7.47,28183,68403769.92,5.56,3.44,0.26,10.07
2010-04-02,7.82,7.75,7.86,7.70,16159,39425276.35,2.05,-0.90,-0.07,5.77
2010-04-06,7.73,7.69,7.83,7.60,18891,45731134.75,2.97,-0.77,-0.06,6.75
2010-04-07,7.69,7.94,7.94,7.54,29627,72358232.76,5.20,3.25,0.25,10.58
2010-04-08,7.96,7.88,8.03,7.86,25171,62832177.24,2.14,-0.76,-0.06,8.99
