2024-01-02,7.18,6.99,7.25,6.98,205545,145270300.00,3.76,-2.65,-0.19,6.81
2024-01-03,6.92,6.93,7.03,6.85,126565,87732333.00,2.58,-0.86,-0.06,4.19
2024-01-04,6.91,6.83,6.94,6.81,93750,64116630.00,1.88,-1.44,-0.10,3.11
2024-01-05,6.83,6.91,7.09,6.74,198547,136614187.00,5.12,1.17,0.08,6.58
2024-01-08,6.80,7.13,7.15,6.78,324934,228372900.00,5.35,3.18,0.22,10.77
2024-01-09,7.10,6.98,7.22,6.95,272041,192547484.00,3.79,-2.10,-0.15,9.02
2024-01-10,6.90,6.77,7.08,6.72,168727,116030685.00,5.16,-3.01,-0.21,5.59
2024-01-11,6.71,6.98,7.07,6.68,213576,148424279.00,5.76,3.10,0.21,7.08
2024-01-12,6.94,7.11,7.17,6.91,251487,177086308.00,3.72,1.86,0.13,8.33
2024-01-15,7.00,7.19,7.32,6.99,272076,195503306.00,4.64,1.13,0.08,9.02
2024-01-16,7.12,7.39,7.43,6.99,426315,309262424.00,6.12,2.78,0.20,14.13
2024-01-17,7.32,7.18,7.50,7.17,445025,328079597.00,4.47,-2.84,-0.21,14.75
2024-01-18,6.99,7.41,7.47,6.71,416466,298927227.00,10.58,3.20,0.23,13.80
2024-01-19,7.28,7.04,7.29,7.01,272872,195269334.00,3.78,-4.99,-0.37,9.04
2024-01-22,7.14,7.10,7.28,6.73,279351,198483715.00,7.81,0.85,0.06,9.26
2024-01-23,6.90,7.33,7.40,6.89,415830,301199372.00,7.18,3.24,0.23,13.78
2024-01-24,7.27,7.99,8.55,7.24,802937,614420487.00,17.87,9.00,0.66,26.61
2024-01-25,7.70,7.85,8.27,7.61,718822,563127475.00,8.26,-1.75,-0.14,23.82
2024-01-26,7.63,7.37,7.86,7.36,519768,396879876.00,6.37,-6.11,-0.48,17.23
2024-01-29,7.14,6.44,7.28,6.40,430160,294440562.00,11.94,-12.62,-0.93,14.26
2024-01-30,6.26,6.08,6.49,6.07,239353,149710527.00,6.52,-5.59,-0.36,7.93
2024-01-31,6.17,5.74,6.34,5.71,270593,164105304.00,10.36,-5.59,-0.34,8.97
2024-02-01,5.71,5.67,5.92,5.48,225670,129172426.00,7.67,-1.22,-0.07,7.48
2024-02-02,5.72,5.34,5.77,4.91,360075,192013872.00,15.17,-5.82,-0.33,11.93
2024-02-05,5.21,4.38,5.25,4.38,319843,151024296.00,16.29,-17.98,-0.96,10.60
2024-02-06,4.30,4.64,4.81,3.95,338215,148574020.00,19.63,5.94,0.26,11.21
2024-02-07,4.77,4.18,4.78,4.16,299221,134321926.00,13.36,-9.91,-0.46,9.92
2024-02-08,4.13,4.48,4.56,4.11,219334,96310164.00,10.77,7.18,0.30,7.27
2024-02-19,4.50,4.72,4.77,4.50,237883,111031290.00,6.03,5.36,0.24,7.88
2024-02-20,4.72,5.12,5.35,4.65,353060,176164442.00,14.83,8.47,0.40,11.70
2024-02-21,4.95,5.17,5.59,4.90,436090,228861912.00,13.48,0.98,0.05,14.45
2024-02-22,5.00,5.34,5.39,5.00,364329,191494558.00,7.54,3.29,0.17,12.07
2024-02-23,5.40,5.82,5.88,5.34,489306,273909731.00,10.11,8.99,0.48,16.22
2024-02-26,5.74,5.63,5.80,5.56,384721,218777038.00,4.12,-3.26,-0.19,12.75
2024-02-27,5.61,6.09,6.15,5.61,453695,267116950.00,9.59,8.17,0.46,15.04
2024-02-28,6.30,5.95,6.99,5.95,775011,499569763.00,17.08,-2.30,-0.14,25.69
2024-02-29,5.71,6.29,6.29,5.71,497756,299669880.00,9.75,5.71,0.34,16.50
2024-03-01,6.15,6.33,6.51,6.07,442319,276799330.00,7.00,0.64,0.04,14.66
2024-03-04,6.20,6.08,6.30,5.95,313313,191772739.00,5.53,-3.95,-0.25,10.38
2024-03-05,6.02,5.91,6.16,5.88,234934,141495713.00,4.61,-2.80,-0.17,7.79
2024-03-06,5.86,5.96,6.12,5.83,284869,170603431.00,4.91,0.85,0.05,9.44
2024-03-07,5.97,5.93,6.10,5.89,260770,156420236.00,3.52,-0.50,-0.03,8.64
2024-03-08,5.90,5.89,5.98,5.84,155459,91796266.00,2.36,-0.67,-0.04,5.15
2024-03-11,5.89,6.10,6.10,5.87,224851,135580798.00,3.90,3.57,0.21,7.45
2024-03-12,6.10,6.25,6.30,6.07,292906,181036266.00,3.77,2.46,0.15,9.71
2024-03-13,6.16,6.11,6.24,6.06,249682,152757000.00,2.88,-2.24,-0.14,8.27
2024-03-14,6.05,6.10,6.23,6.00,255656,156771984.00,3.76,-0.16,-0.01,8.47
2024-03-15,6.04,6.22,6.23,6.04,230548,142113120.00,3.11,1.97,0.12,7.64
2024-03-18,6.20,6.50,6.54,6.16,460060,294641998.00,6.11,4.50,0.28,15.25
2024-03-19,6.42,6.28,6.48,6.26,288155,182832244.00,3.38,-3.38,-0.22,9.55
2024-03-20,6.21,6.40,6.44,6.21,198934,126523962.00,3.66,1.91,0.12,6.59
2024-03-21,6.33,6.57,6.62,6.32,315442,206089172.00,4.69,2.66,0.17,10.45
2024-03-22,6.49,6.36,6.53,6.31,221761,141949114.00,3.35,-3.20,-0.21,7.35
2024-03-25,6.26,6.06,6.37,6.04,194518,120815538.00,5.19,-4.72,-0.30,6.45
