2018-09-18,16.58,20.44,20.44,16.58,3901,9005196.00,28.87,52.88,7.07,0.17
2018-09-19,22.75,22.75,22.75,22.75,1389,3534343.00,0.00,11.30,2.31,0.06
2018-09-20,25.30,25.30,25.30,25.30,6390,17892812.00,0.00,11.21,2.55,0.28
2018-09-21,27.30,23.47,27.30,23.33,929421,2524118736.00,15.69,-7.23,-1.83,40.21
2018-09-25,22.30,21.01,22.30,20.86,638915,1547096224.00,6.14,-10.48,-2.46,27.64
2018-09-26,20.80,20.75,21.17,20.43,420960,986786176.00,3.52,-1.24,-0.26,18.21
2018-09-27,20.60,18.76,20.60,18.65,532009,1179361152.00,9.40,-9.59,-1.99,23.02
2018-09-28,18.70,18.56,19.14,18.41,280871,602536656.00,3.89,-1.07,-0.20,12.15
2018-10-08,18.00,17.53,18.27,17.35,223302,460781616.00,4.96,-5.55,-1.03,9.66
2018-10-09,18.05,18.04,18.47,17.91,255604,533695040.00,3.19,2.91,0.51,11.06
2018-10-10,17.85,17.87,18.18,17.61,166787,343802624.00,3.16,-0.94,-0.17,7.22
2018-10-11,16.75,15.81,16.98,15.81,263451,500601152.00,6.55,-11.53,-2.06,11.40
2018-10-12,15.48,15.28,15.69,14.18,256307,456034272.00,9.55,-3.35,-0.53,11.09
2018-10-15,15.31,15.21,15.88,15.19,181249,330551680.00,4.52,-0.46,-0.07,7.84
2018-10-16,15.21,14.94,15.36,14.50,152378,269573888.00,5.65,-1.78,-0.27,6.59
2018-10-17,15.32,15.59,15.60,14.83,211871,380930432.00,5.15,4.35,0.65,9.17
2018-10-18,15.37,15.60,16.09,14.91,284995,519378896.00,7.57,0.06,0.01,12.33
2018-10-19,15.29,16.69,17.38,15.15,372766,705837936.00,14.29,6.99,1.09,16.13
2018-10-22,16.86,17.67,18.15,16.70,425425,856414176.00,8.69,5.87,0.98,18.41
2018-10-23,17.50,16.93,17.66,16.82,287920,573174432.00,4.75,-4.19,-0.74,12.46
2018-10-24,16.84,16.79,17.24,16.52,168311,328957824.00,4.25,-0.83,-0.14,7.28
2018-10-25,16.06,17.43,17.66,15.85,274893,536953472.00,10.78,3.81,0.64,11.89
2018-10-26,17.70,16.97,17.85,16.91,179463,358754080.00,5.39,-2.64,-0.46,7.76
2018-10-29,16.88,17.00,17.50,16.78,140901,280495312.00,4.24,0.18,0.03,6.10
2018-10-30,17.05,17.07,17.16,16.38,149908,293293696.00,4.59,0.41,0.07,6.49
2018-10-31,17.51,17.92,18.25,17.51,363024,748797728.00,4.34,4.98,0.85,15.71
2018-11-01,17.81,17.59,18.04,17.55,231341,473745328.00,2.73,-1.84,-0.33,10.01
2018-11-02,17.88,18.08,18.15,17.71,230938,475916832.00,2.50,2.79,0.49,9.99
2018-11-05,18.39,17.46,18.59,17.32,359330,736546800.00,7.02,-3.43,-0.62,15.55
2018-11-06,17.24,16.40,17.25,16.20,319336,614385216.00,6.01,-6.07,-1.06,13.82
2018-11-07,16.45,16.36,16.61,16.31,142142,272586112.00,1.83,-0.24,-0.04,6.15
2018-11-08,16.51,16.16,16.67,16.10,132996,253937014.00,3.48,-1.22,-0.20,5.75
2018-11-09,15.98,16.12,16.39,15.88,89212,168571360.00,3.16,-0.25,-0.04,3.86
2018-11-12,16.23,16.58,16.58,16.03,135345,258087776.00,3.41,2.85,0.46,5.86
2018-11-13,16.24,16.53,16.60,16.15,181055,345977520.00,2.71,-0.30,-0.05,7.83
2018-11-14,16.58,16.56,16.87,16.51,176936,343066864.00,2.18,0.18,0.03,7.65
2018-11-15,16.56,17.07,17.07,16.54,233835,456709248.00,3.20,3.08,0.51,10.12
2018-11-16,17.06,16.98,17.24,16.94,197270,389909216.00,1.76,-0.53,-0.09,8.53
2018-11-19,16.97,17.00,17.15,16.72,145574,285545696.00,2.53,0.12,0.02,6.30
2018-11-20,16.76,16.18,16.84,16.18,185147,355913168.00,3.88,-4.82,-0.82,8.01
2018-11-21,15.91,16.35,16.37,15.81,110825,208131742.00,3.46,1.05,0.17,4.79
2018-11-22,16.40,16.21,16.40,16.17,68451,129803976.00,1.41,-0.86,-0.14,2.96
2018-11-23,16.25,15.27,16.36,15.23,138710,255329087.00,6.97,-5.80,-0.94,6.00
2018-11-26,15.27,15.22,15.43,15.16,56156,101081888.00,1.77,-0.33,-0.05,2.43
2018-11-27,15.45,15.46,15.67,15.40,76692,139512659.00,1.77,1.58,0.24,3.32
