MjAxNC0wNi0yNiw0LjM3LDUuMjksNS4yOSw0LjM3LDI1MjMsNTMzNzM2OS4wMCwyNS41Niw0Ni45NCwxLjY5LDEuMjY=
2014-06-27,5.84,5.84,5.84,5.84,611,1425463.00,0.00,10.40,0.55,0.31
2014-06-30,6.45,6.45,6.45,6.45,1170,3001629.00,0.00,10.45,0.61,0.58
2014-07-01,7.12,7.12,7.12,7.12,2122,5990264.00,0.00,10.39,0.67,1.06
2014-07-02,7.85,7.85,7.85,7.85,3623,11249911.00,0.00,10.25,0.73,1.81
2014-07-03,8.66,8.66,8.66,8.66,4048,13826669.00,0.00,10.32,0.81,2.02
2014-07-04,9.56,9.56,9.56,9.56,9085,34140640.00,0.00,10.39,0.90,4.54
2014-07-07,10.53,10.53,10.53,10.53,14889,61549431.00,0.00,10.15,0.97,7.44
2014-07-08,11.61,11.61,11.61,11.49,115910,526945408.00,1.14,10.26,1.08,57.95
2014-07-09,11.82,12.79,12.79,11.76,160326,770002272.00,8.87,10.16,1.18,80.16
2014-07-10,12.27,14.10,14.10,12.06,126049,651804784.00,15.95,10.24,1.31,63.02
2014-07-11,13.83,13.88,15.25,13.71,133394,749869808.00,10.92,-1.56,-0.22,66.70
2014-07-14,13.28,12.77,13.88,12.63,91971,469166976.00,9.01,-8.00,-1.11,45.99
2014-07-15,12.84,12.59,13.12,12.28,67569,333638544.00,6.58,-1.41,-0.18,33.78
2014-07-16,12.50,13.88,13.88,12.43,107090,554973616.00,11.52,10.25,1.29,53.55
2014-07-17,13.72,12.79,13.91,12.47,78971,400822128.00,10.37,-7.85,-1.09,39.49
2014-07-18,12.52,11.81,12.68,11.76,59532,281895376.00,7.19,-7.66,-0.98,29.77
2014-07-21,11.59,12.18,12.50,11.51,58968,278132720.00,8.38,3.13,0.37,29.48
2014-07-22,11.94,12.17,12.27,11.72,49351,231582864.00,4.52,-0.08,-0.01,24.68
2014-07-23,12.06,11.49,12.09,11.49,53948,249031614.00,4.93,-5.59,-0.68,26.97
2014-07-24,11.36,12.66,12.66,11.20,65775,312408736.00,12.71,10.18,1.17,32.89
2014-07-25,12.44,12.17,12.50,11.80,65485,311534928.00,5.53,-3.87,-0.49,32.74
2014-07-28,12.09,12.57,13.14,11.93,66905,326307168.00,9.94,3.29,0.40,33.45
2014-07-29,12.48,13.02,13.57,12.46,71891,366556288.00,8.83,3.58,0.45,35.95
2014-07-30,12.95,14.01,14.35,12.80,104689,562628288.00,11.90,7.60,0.99,52.34
2014-07-31,13.71,13.54,13.83,13.28,60816,320401776.00,3.93,-3.35,-0.47,30.41
2014-08-01,13.44,13.04,13.65,12.88,52687,272557984.00,5.69,-3.69,-0.50,26.34
2014-08-04,13.18,13.15,13.38,12.97,31843,163458806.00,3.14,0.84,0.11,15.92
2014-08-05,13.08,13.02,13.31,12.76,40940,208476187.00,4.18,-0.99,-0.13,20.47
2014-08-06,12.89,12.65,13.22,12.53,43643,217982990.00,5.30,-2.84,-0.37,21.82
2014-08-07,12.53,12.58,12.79,12.48,32400,159780660.00,2.45,-0.55,-0.07,16.20
2014-08-08,12.51,12.43,12.67,12.40,27550,134697996.00,2.15,-1.19,-0.15,13.77
2014-08-11,12.40,12.60,12.66,12.40,22727,111713282.00,2.09,1.37,0.17,11.36
2014-08-12,12.54,12.48,12.64,12.42,22335,109185426.00,1.75,-0.95,-0.12,11.17
2014-08-13,12.37,11.83,12.37,11.64,43380,201911804.00,5.85,-5.21,-0.65,21.69
2014-08-14,11.75,11.79,12.02,11.71,26902,124798775.00,2.62,-0.34,-0.04,13.45
2014-08-15,11.75,11.82,11.87,11.72,14850,68591633.00,1.27,0.25,0.03,7.42
2014-08-18,11.80,12.06,12.06,11.79,21280,99597646.00,2.28,2.03,0.24,10.64
2014-08-19,12.09,12.06,12.32,11.96,24259,114861850.00,2.99,0.00,0.00,12.13
2014-08-20,12.06,12.32,12.52,11.91,35408,169655937.00,5.06,2.16,0.26,17.70
2014-08-21,12.24,11.90,12.35,11.75,29628,138983900.00,4.87,-3.41,-0.42,14.81
2014-08-22,11.92,12.16,12.37,11.79,30873,146063015.00,4.87,2.18,0.26,15.44
2014-08-25,12.02,12.26,12.41,12.02,28959,138883743.00,3.21,0.82,0.10,14.48
2014-08-26,12.13,11.64,12.19,11.62,32147,148071883.00,4.65,-5.06,-0.62,16.07
2014-08-27,11.65,11.68,11.88,11.64,13141,60472901.00,2.06,0.34,0.04,6.57
2014-08-28,11.70,11.83,11.85,11.64,16726,77068700.00,1.80,1.28,0.15,8.36
2014-08-29,11.80,11.99,12.14,11.64,26505,123893109.00,4.23,1.35,0.16,13.25
2014-09-01,11.97,12.14,12.22,11.88,19564,92627640.00,2.84,1.25,0.15,9.78
2014-09-02,12.20,12.53,12.70,12.15,43863,213714096.00,4.53,3.21,0.39,21.93
2014-09-03,12.57,12.46,12.59,12.21,29232,141654985.00,3.03,-0.56,-0.07,14.62
2014-09-04,12.44,12.70,12.91,12.35,36070,179087895.00,4.49,1.93,0.24,18.03
2014-09-05,12.65,12.54,12.73,12.45,20739,101797975.00,2.20,-1.26,-0.16,10.37
2014-09-09,12.69,12.41,12.69,12.37,18900,92251511.00,2.55,-1.04,-0.13,9.45
2014-09-10,12.43,13.26,13.45,12.43,56926,290819248.00,8.22,6.85,0.85,28.46
2014-09-11,13.10,12.97,13.13,12.77,36383,184454698.00,2.71,-2.19,-0.29,18.19
2014-09-12,12.97,12.85,12.97,12.64,22019,109969641.00,2.54,-0.93,-0.12,11.01
2014-09-15,12.85,12.79,12.87,12.60,18073,89752326.00,2.10,-0.47,-0.06,9.04
2014-09-16,12.77,12.27,12.91,12.27,21499,105631547.00,5.00,-4.07,-0.52,10.75
2014-09-17,12.38,12.38,12.45,12.16,13858,66870847.00,2.36,0.90,0.11,6.93
2014-09-18,12.40,12.22,12.44,12.19,13039,62641608.00,2.02,-1.29,-0.16,6.52
2014-09-19,12.36,12.36,12.49,12.29,12790,61941171.00,1.64,1.15,0.14,6.40
2014-09-22,12.32,11.90,12.32,11.88,14652,69018315.00,3.56,-3.72,-0.46,7.33
2014-09-23,11.95,12.13,12.18,11.95,9354,44277035.00,1.93,1.93,0.23,4.68
2014-09-24,12.13,12.17,12.24,12.06,10127,48254060.00,1.48,0.33,0.04,5.06
2014-09-25,12.25,12.06,12.27,12.01,12651,60267314.00,2.14,-0.90,-0.11,6.33
2014-09-26,12.01,12.04,12.08,11.93,8745,41092289.00,1.24,-0.17,-0.02,4.37
2014-09-29,12.08,12.30,12.35,12.08,11980,57379982.00,2.24,2.16,0.26,5.99
2014-09-30,12.38,12.47,12.47,12.27,11573,55917641.00,1.63,1.38,0.17,5.79
2014-10-08,12.47,12.63,12.68,12.41,16227,79781568.00,2.17,1.28,0.16,8.11
2014-10-09,12.72,13.33,13.87,12.72,48535,252473880.00,9.11,5.54,0.70,24.27
2014-10-10,13.31,13.13,13.46,13.08,26829,138580959.00,2.85,-1.50,-0.20,13.41
2014-10-20,13.51,13.18,13.75,13.09,35003,183092564.00,5.03,0.38,0.05,17.50
2014-10-21,12.95,13.48,13.57,12.93,31506,164700977.00,4.86,2.28,0.30,15.75
2014-10-22,13.53,14.07,14.76,13.36,47150,258778170.00,10.39,4.38,0.59,23.58
2014-10-23,13.90,13.75,14.16,13.63,25124,136001629.00,3.77,-2.27,-0.32,12.56
2014-10-24,13.78,13.12,13.96,13.10,22736,120012634.00,6.25,-4.58,-0.63,11.37
2014-10-27,13.05,12.70,13.05,12.68,20138,100877687.00,2.82,-3.20,-0.42,10.07
2014-10-28,12.77,13.14,13.16,12.76,17505,88910280.00,3.15,3.46,0.44,8.75
2014-10-29,13.30,13.35,13.62,13.21,23746,124259273.00,3.12,1.60,0.21,11.87
2014-10-30,13.34,13.19,13.52,13.18,16183,84078336.00,2.55,-1.20,-0.16,8.09
2014-10-31,13.19,13.79,13.79,13.12,26374,138932043.00,5.08,4.55,0.60,13.19
2014-11-03,13.86,14.22,14.22,13.73,27188,148454887.00,3.55,3.12,0.43,13.59
2014-11-04,14.14,13.68,14.29,13.67,19751,107003175.00,4.36,-3.80,-0.54,9.88
2014-11-05,13.60,13.41,13.76,13.31,14500,76584901.00,3.29,-1.97,-0.27,7.25
2014-11-06,13.42,14.14,14.18,13.42,27712,151056422.00,5.67,5.44,0.73,13.86
2014-11-07,14.25,13.82,14.58,13.78,30121,166353508.00,5.66,-2.26,-0.32,15.06
2014-11-10,13.71,14.09,14.17,13.57,23365,126626183.00,4.34,1.95,0.27,11.68
2014-11-11,14.07,14.29,14.39,13.62,33263,181751190.00,5.46,1.42,0.20,16.63
2014-11-12,14.17,15.39,15.70,14.11,65438,386881008.00,11.13,7.70,1.10,32.72
2014-11-13,14.81,14.55,15.26,14.53,39171,227184655.00,4.74,-5.46,-0.84,19.59
2014-11-14,14.37,13.67,14.73,13.44,33449,183459430.00,8.87,-6.05,-0.88,16.72
2014-11-17,13.45,13.80,14.19,13.45,17311,94018097.00,5.41,0.95,0.13,8.66
2014-11-18,13.85,13.95,14.07,13.57,13633,73736303.00,3.62,1.09,0.15,6.82
2014-11-19,13.87,13.84,14.07,13.72,10848,58822034.00,2.51,-0.79,-0.11,5.42
2014-11-20,13.63,13.64,13.83,13.58,12376,66079515.00,1.81,-1.45,-0.20,6.19
2014-11-21,13.64,13.86,14.00,13.60,13681,74071479.00,2.93,1.61,0.22,6.84
2014-11-24,14.07,14.03,14.08,13.83,13857,75620282.00,1.80,1.23,0.17,6.93
2014-11-25,14.01,13.86,14.34,13.70,17845,97315847.00,4.56,-1.21,-0.17,8.92
2014-11-26,13.87,14.12,14.26,13.87,16143,88733782.00,2.81,1.88,0.26,8.07
2014-11-27,14.38,14.19,14.48,14.07,22090,123304749.00,2.90,0.50,0.07,11.04
2014-11-28,14.14,14.12,14.40,14.04,16880,93527559.00,2.54,-0.49,-0.07,8.44
2014-12-01,14.13,14.05,14.22,13.81,15491,84057523.00,2.90,-0.50,-0.07,7.75
2014-12-02,14.12,14.56,14.87,14.09,29681,168813964.00,5.55,3.63,0.51,14.84
2014-12-03,14.48,14.64,14.71,14.15,26427,148406696.00,3.85,0.55,0.08,13.21
2014-12-04,14.69,14.52,14.87,14.48,18682,106479214.00,2.66,-0.82,-0.12,9.34
2014-12-05,14.40,13.47,14.47,13.36,29661,159299246.00,7.64,-7.23,-1.05,14.83
2014-12-08,13.47,13.11,13.47,13.08,14602,75540899.00,2.90,-2.67,-0.36,7.30
2014-12-09,13.09,12.15,13.09,12.14,23090,113625916.00,7.25,-7.32,-0.96,11.54
2014-12-10,12.22,12.78,12.91,12.22,16586,81956334.00,5.68,5.19,0.63,8.29
2014-12-11,12.75,12.97,13.24,12.55,13248,67200645.00,5.40,1.49,0.19,6.62
2014-12-12,13.01,12.97,13.10,12.76,8549,43084321.00,2.62,0.00,0.00,4.27
2014-12-15,12.84,13.20,13.24,12.84,9436,48466878.00,3.08,1.77,0.23,4.72
2014-12-16,13.31,12.95,13.35,12.93,9311,47681755.00,3.18,-1.89,-0.25,4.66
2014-12-17,12.89,12.54,12.90,12.49,9894,48873148.00,3.17,-3.17,-0.41,4.95
2014-12-18,12.50,12.57,12.91,12.48,7034,34992193.00,3.43,0.24,0.03,3.52
2014-12-19,12.56,12.06,12.63,11.90,13059,62094520.00,5.81,-4.06,-0.51,6.53
2014-12-22,12.01,10.83,12.01,10.83,15488,66878888.00,9.78,-10.20,-1.23,7.74
2014-12-23,10.85,10.95,11.22,10.85,10075,43640611.00,3.42,1.11,0.12,5.04
2014-12-24,11.40,11.43,11.48,11.23,9750,43434176.00,2.28,4.38,0.48,4.87
2014-12-25,11.49,11.44,11.56,11.25,6054,27029072.00,2.71,0.09,0.01,3.03
2014-12-26,11.44,11.46,11.54,11.29,5301,23702483.00,2.19,0.17,0.02,2.65
2014-12-29,11.25,11.07,11.43,10.97,6875,29971583.00,4.01,-3.40,-0.39,3.44
2014-12-30,11.07,11.05,11.18,10.89,4526,19503453.00,2.62,-0.18,-0.02,2.26
2014-12-31,11.07,11.17,11.18,10.99,7660,33306432.00,1.72,1.09,0.12,3.83
